ID,CAMPAIGN_NAME,DATE,SPEND,IMPRESSIONS,CLICKS
997546097,ad_network_2_iOS_US_All_Exact_CPT,2022-10-21,777.06,1680,385
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2022-05-07,36.29,50,10
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2023-02-22,0.00,14,0
1003503725,ad_network_2_iOS_AU_All_Exact_CPT,2022-11-12,9.24,288,15
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2023-01-11,0.00,40,0
1003428951,ad_network_2_iOS_NZ_All_Match,2022-06-25,45.15,1530,27
1014115345,ad_network_2_iOS_FR_All_Match,2022-12-19,13.18,4088,147
1003290939,ad_network_2_iOS_IE_All_C_Exact_CPT,2022-10-23,0.00,8,0
1003428949,ad_network_2_iOS_UK_All_Match,2022-06-19,13.33,3704,216
1003371337,ad_network_2_iOS_UK_All_B_Exact_CPT,2022-09-24,7.16,12,8
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-08-02,83.52,248,66
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-12-22,103.64,1610,20
1003432133,ad_network_2_iOS_IE_All_Shared_B_Exact_CPT,2022-09-24,0.00,7,0
1003428951,ad_network_2_iOS_NZ_All_Match,2023-02-11,167.62,1106,140
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2022-10-01,9.10,3,2
1003487745,ad_network_2_iOS_CA_All_C_Exact_CPT,2022-10-26,37.42,40,7
1003290939,ad_network_2_iOS_IE_All_C_Exact_CPT,2022-12-24,0.00,5,0
997563399,ad_network_2_iOS_US_All_Match,2022-11-01,83.04,7256,75
1003428949,ad_network_2_iOS_UK_All_Match,2023-02-10,343.85,3465,203
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-12-03,13.23,230,16
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-08-18,91.26,290,80
1009067728,ad_network_2_iOS_DE_All_B_Exact_CPT,2022-04-04,0.00,6,0
1003503722,ad_network_2_iOS_CA_All_Match,2022-02-18,56.80,414,35
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-05-19,28.63,440,54
1015237368,ad_network_2_iOS_BE_All_Shared_B_Exact_CPT,2023-02-24,0.00,2,0
1003487744,ad_network_2_iOS_CA_All_Shared_B_Exact_CPT,2022-08-30,0.00,1,0
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-09-09,0.00,30,0
1003487744,ad_network_2_iOS_CA_All_Shared_B_Exact_CPT,2022-04-22,54.61,48,24
1003504069,ad_network_2_iOS_NZ_All_B_Exact_CPT,2023-04-02,0.00,8,0
1003288334,ad_network_2_iOS_CA_All_B_Exact_CPT,2023-02-21,4.16,12,9
1003487744,ad_network_2_iOS_CA_All_Shared_B_Exact_CPT,2022-03-19,0.00,15,0
1015237368,ad_network_2_iOS_BE_All_Shared_B_Exact_CPT,2022-08-17,0.00,14,0
1003290939,ad_network_2_iOS_IE_All_C_Exact_CPT,2022-09-23,0.15,5,2
1003428951,ad_network_2_iOS_NZ_All_Match,2022-09-30,7.75,340,21
1009052654,ad_network_2_iOS_DE_All_Shared_B_Exact_CPT,2022-12-09,0.00,21,0
1003432133,ad_network_2_iOS_IE_All_Shared_B_Exact_CPT,2023-02-19,0.00,27,0
1009045000,ad_network_2_iOS_DE_All_Exact_CPT,2022-12-06,256.59,240,64
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-11-17,45.91,88,8
1003503564,ad_network_2_iOS_NZ_All_Shared_B_Exact_CPT,2022-11-24,0.00,21,0
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2023-01-08,14.76,216,10
997563399,ad_network_2_iOS_US_All_Match,2022-02-10,226.70,1270,126
997546097,ad_network_2_iOS_US_All_Exact_CPT,2023-02-24,894.97,3663,68
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-11-17,2.91,21,7
1003503146,ad_network_2_iOS_AU_All_Shared_B_Exact_CPT,2022-08-22,0.00,9,0
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-03-14,0.00,2,0
1015196756,ad_network_2_iOS_BE_All_Exact_CPT,2022-06-09,32.40,110,9
1003503564,ad_network_2_iOS_NZ_All_Shared_B_Exact_CPT,2022-05-27,0.00,12,0
997510675,None,2022-03-16,0.00,15,0
1003432133,ad_network_2_iOS_IE_All_Shared_B_Exact_CPT,2022-11-07,12.01,18,5
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2022-05-13,37.26,15,7
1003505483,ad_network_2_iOS_NZ_All_Exact_CPT,2022-06-17,104.49,45,54
1015220333,ad_network_2_iOS_BE_All_C_Exact_CPT,2022-06-08,0.00,5,0
1003371337,ad_network_2_iOS_UK_All_B_Exact_CPT,2022-04-13,20.64,4,14
